DESC,DATABASE,TABLE,ID,COLUMN,TYPE,LENGHT,DEC,ALT
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,17,ATTRIBUTE1,VARCHAR2,150,0,ATTRIBUTE1
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,18,ATTRIBUTE2,VARCHAR2,150,0,ATTRIBUTE2
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,19,ATTRIBUTE3,VARCHAR2,150,0,ATTRIBUTE3
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,20,ATTRIBUTE4,VARCHAR2,150,0,ATTRIBUTE4
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,21,ATTRIBUTE5,VARCHAR2,150,0,ATTRIBUTE5
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,22,ATTRIBUTE6,VARCHAR2,150,0,ATTRIBUTE6
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,23,ATTRIBUTE7,VARCHAR2,150,0,ATTRIBUTE7
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,24,ATTRIBUTE8,VARCHAR2,150,0,ATTRIBUTE8
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,25,ATTRIBUTE9,VARCHAR2,150,0,ATTRIBUTE9
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,26,ATTRIBUTE10,VARCHAR2,150,0,ATTRIBUTE10
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,27,ATTRIBUTE11,VARCHAR2,150,0,ATTRIBUTE11
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,28,ATTRIBUTE12,VARCHAR2,150,0,ATTRIBUTE12
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,29,ATTRIBUTE13,VARCHAR2,150,0,ATTRIBUTE13
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,30,ATTRIBUTE14,VARCHAR2,150,0,ATTRIBUTE14
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,31,ATTRIBUTE15,VARCHAR2,150,0,ATTRIBUTE15
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,32,ATTRIBUTE16,VARCHAR2,150,0,ATTRIBUTE16
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,33,ATTRIBUTE17,VARCHAR2,150,0,ATTRIBUTE17
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,34,ATTRIBUTE18,VARCHAR2,150,0,ATTRIBUTE18
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,35,ATTRIBUTE19,VARCHAR2,150,0,ATTRIBUTE19
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,36,ATTRIBUTE20,VARCHAR2,150,0,ATTRIBUTE20
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,37,LAST_UPDATE_DATE,DATETIME,7,0,LAST_UPDATE_DATE
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,38,LAST_UPDATED_BY,NUMBER,22,0,LAST_UPDATED_BY
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,39,LAST_UPDATE_LOGIN,NUMBER,22,0,LAST_UPDATE_LOGIN
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,40,CREATED_BY,NUMBER,22,0,CREATED_BY
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,41,CREATION_DATE,DATETIME,7,0,CREATION_DATE
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,42,OBJECT_VERSION_NUMBER,NUMBER,22,0,OBJECT_VERSION_NUMBER
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,43,PARTY_ID,NUMBER,22,0,PARTY_ID
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,44,COMMENTS,LONG,0,0,COMMENTS
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,45,ATTRIBUTE21,VARCHAR2,150,0,ATTRIBUTE21
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,46,ATTRIBUTE22,VARCHAR2,150,0,ATTRIBUTE22
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,47,ATTRIBUTE23,VARCHAR2,150,0,ATTRIBUTE23
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,48,ATTRIBUTE24,VARCHAR2,150,0,ATTRIBUTE24
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,49,ATTRIBUTE25,VARCHAR2,150,0,ATTRIBUTE25
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,50,ATTRIBUTE26,VARCHAR2,150,0,ATTRIBUTE26
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,51,ATTRIBUTE27,VARCHAR2,150,0,ATTRIBUTE27
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,52,ATTRIBUTE28,VARCHAR2,150,0,ATTRIBUTE28
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,53,ATTRIBUTE29,VARCHAR2,150,0,ATTRIBUTE29
,HR_PROD,HR_ALL_ORGANIZATION_UNITS,54,ATTRIBUTE30,VARCHAR2,150,0,ATTRIBUTE30
,HR_PROD,HR_ALL_POSITIONS_F,1,POSITION_ID,NUMBER,22,0,POSITION_ID
,HR_PROD,HR_ALL_POSITIONS_F,2,EFFECTIVE_START_DATE,DATE,7,0,EFFECTIVE_START_DATE
,HR_PROD,HR_ALL_POSITIONS_F,3,EFFECTIVE_END_DATE,DATE,7,0,EFFECTIVE_END_DATE
,HR_PROD,HR_ALL_POSITIONS_F,4,AVAILABILITY_STATUS_ID,NUMBER,22,0,AVAILABILITY_STATUS_ID
,HR_PROD,HR_ALL_POSITIONS_F,5,BUSINESS_GROUP_ID,NUMBER,22,0,BUSINESS_GROUP_ID
,HR_PROD,HR_ALL_POSITIONS_F,6,ENTRY_GRADE_ID,NUMBER,22,0,ENTRY_GRADE_ID
,HR_PROD,HR_ALL_POSITIONS_F,7,ENTRY_GRADE_RULE_ID,NUMBER,22,0,ENTRY_GRADE_RULE_ID
,HR_PROD,HR_ALL_POSITIONS_F,8,ENTRY_STEP_ID,NUMBER,22,0,ENTRY_STEP_ID
,HR_PROD,HR_ALL_POSITIONS_F,9,JOB_ID,NUMBER,22,0,JOB_ID
,HR_PROD,HR_ALL_POSITIONS_F,10,LOCATION_ID,NUMBER,22,0,LOCATION_ID
,HR_PROD,HR_ALL_POSITIONS_F,11,ORGANIZATION_ID,NUMBER,22,0,ORGANIZATION_ID
,HR_PROD,HR_ALL_POSITIONS_F,12,PAY_BASIS_ID,NUMBER,22,0,PAY_BASIS_ID
,HR_PROD,HR_ALL_POSITIONS_F,13,PAY_FREQ_PAYROLL_ID,NUMBER,22,0,PAY_FREQ_PAYROLL_ID
,HR_PROD,HR_ALL_POSITIONS_F,14,POSITION_DEFINITION_ID,NUMBER,22,0,POSITION_DEFINITION_ID
,HR_PROD,HR_ALL_POSITIONS_F,15,POSITION_TRANSACTION_ID,NUMBER,22,0,POSITION_TRANSACTION_ID
,HR_PROD,HR_ALL_POSITIONS_F,16,PRIOR_POSITION_ID,NUMBER,22,0,PRIOR_POSITION_ID
,HR_PROD,HR_ALL_POSITIONS_F,17,RELIEF_POSITION_ID,NUMBER,22,0,RELIEF_POSITION_ID
,HR_PROD,HR_ALL_POSITIONS_F,18,SUCCESSOR_POSITION_ID,NUMBER,22,0,SUCCESSOR_POSITION_ID
,HR_PROD,HR_ALL_POSITIONS_F,19,SUPERVISOR_ID,NUMBER,22,0,SUPERVISOR_ID
,HR_PROD,HR_ALL_POSITIONS_F,20,SUPERVISOR_POSITION_ID,NUMBER,22,0,SUPERVISOR_POSITION_ID
,HR_PROD,HR_ALL_POSITIONS_F,21,AMENDMENT_DATE,DATE,7,0,AMENDMENT_DATE
,HR_PROD,HR_ALL_POSITIONS_F,22,AMENDMENT_RECOMMENDATION,VARCHAR2,2000,0,AMENDMENT_RECOMMENDATION
,HR_PROD,HR_ALL_POSITIONS_F,23,AMENDMENT_REF_NUMBER,VARCHAR2,30,0,AMENDMENT_REF_NUMBER
,HR_PROD,HR_ALL_POSITIONS_F,24,AVAIL_STATUS_PROP_END_DATE,DATE,7,0,AVAIL_STATUS_PROP_END_DATE
,HR_PROD,HR_ALL_POSITIONS_F,25,BARGAINING_UNIT_CD,VARCHAR2,30,0,BARGAINING_UNIT_CD
,HR_PROD,HR_ALL_POSITIONS_F,26,COPIED_TO_OLD_TABLE_FLAG,VARCHAR2,30,0,COPIED_TO_OLD_TABLE_FLAG
,HR_PROD,HR_ALL_POSITIONS_F,27,CURRENT_JOB_PROP_END_DATE,DATE,7,0,CURRENT_JOB_PROP_END_DATE
,HR_PROD,HR_ALL_POSITIONS_F,28,CURRENT_ORG_PROP_END_DATE,DATE,7,0,CURRENT_ORG_PROP_END_DATE
,HR_PROD,HR_ALL_POSITIONS_F,29,DATE_EFFECTIVE,DATE,7,0,DATE_EFFECTIVE
,HR_PROD,HR_ALL_POSITIONS_F,30,DATE_END,DATE,7,0,DATE_END
,HR_PROD,HR_ALL_POSITIONS_F,31,EARLIEST_HIRE_DATE,DATE,7,0,EARLIEST_HIRE_DATE
,HR_PROD,HR_ALL_POSITIONS_F,32,FILL_BY_DATE,DATE,7,0,FILL_BY_DATE
,HR_PROD,HR_ALL_POSITIONS_F,33,FREQUENCY,VARCHAR2,30,0,FREQUENCY
,HR_PROD,HR_ALL_POSITIONS_F,34,FTE,NUMBER,22,0,FTE
,HR_PROD,HR_ALL_POSITIONS_F,35,MAX_PERSONS,NUMBER,22,0,MAX_PERSONS
,HR_PROD,HR_ALL_POSITIONS_F,36,NAME,VARCHAR2,240,0,NAME
,HR_PROD,HR_ALL_POSITIONS_F,37,OVERLAP_PERIOD,NUMBER,22,0,OVERLAP_PERIOD
,HR_PROD,HR_ALL_POSITIONS_F,38,OVERLAP_UNIT_CD,VARCHAR2,30,0,OVERLAP_UNIT_CD
,HR_PROD,HR_ALL_POSITIONS_F,39,PAY_TERM_END_DAY_CD,VARCHAR2,30,0,PAY_TERM_END_DAY_CD
,HR_PROD,HR_ALL_POSITIONS_F,40,PAY_TERM_END_MONTH_CD,VARCHAR2,30,0,PAY_TERM_END_MONTH_CD
,HR_PROD,HR_ALL_POSITIONS_F,41,PERMANENT_TEMPORARY_FLAG,VARCHAR2,30,0,PERMANENT_TEMPORARY_FLAG
,HR_PROD,HR_ALL_POSITIONS_F,42,PERMIT_RECRUITMENT_FLAG,VARCHAR2,30,0,PERMIT_RECRUITMENT_FLAG
,HR_PROD,HR_ALL_POSITIONS_F,43,POSITION_TYPE,VARCHAR2,30,0,POSITION_TYPE
,HR_PROD,HR_ALL_POSITIONS_F,44,POSTING_DESCRIPTION,VARCHAR2,2000,0,POSTING_DESCRIPTION
,HR_PROD,HR_ALL_POSITIONS_F,45,PROBATION_PERIOD,NUMBER,22,0,PROBATION_PERIOD
,HR_PROD,HR_ALL_POSITIONS_F,46,PROBATION_PERIOD_UNIT_CD,VARCHAR2,30,0,PROBATION_PERIOD_UNIT_CD
,HR_PROD,HR_ALL_POSITIONS_F,47,PROPOSED_FTE_FOR_LAYOFF,NUMBER,22,0,PROPOSED_FTE_FOR_LAYOFF
,HR_PROD,HR_ALL_POSITIONS_F,48,PROPOSED_DATE_FOR_LAYOFF,DATE,7,0,PROPOSED_DATE_FOR_LAYOFF
,HR_PROD,HR_ALL_POSITIONS_F,49,REPLACEMENT_REQUIRED_FLAG,VARCHAR2,30,0,REPLACEMENT_REQUIRED_FLAG
,HR_PROD,HR_ALL_POSITIONS_F,50,REVIEW_FLAG,VARCHAR2,30,0,REVIEW_FLAG
,HR_PROD,HR_ALL_POSITIONS_F,51,SEASONAL_FLAG,VARCHAR2,30,0,SEASONAL_FLAG
,HR_PROD,HR_ALL_POSITIONS_F,52,SECURITY_REQUIREMENTS,VARCHAR2,2000,0,SECURITY_REQUIREMENTS
,HR_PROD,HR_ALL_POSITIONS_F,53,STATUS,VARCHAR2,30,0,STATUS
,HR_PROD,HR_ALL_POSITIONS_F,54,TERM_START_DAY_CD,VARCHAR2,30,0,TERM_START_DAY_CD
,HR_PROD,HR_ALL_POSITIONS_F,55,TERM_START_MONTH_CD,VARCHAR2,30,0,TERM_START_MONTH_CD
,HR_PROD,HR_ALL_POSITIONS_F,56,TIME_NORMAL_FINISH,VARCHAR2,5,0,TIME_NORMAL_FINISH
,HR_PROD,HR_ALL_POSITIONS_F,57,TIME_NORMAL_START,VARCHAR2,5,0,TIME_NORMAL_START
,HR_PROD,HR_ALL_POSITIONS_F,58,UPDATE_SOURCE_CD,VARCHAR2,30,0,UPDATE_SOURCE_CD
,HR_PROD,HR_ALL_POSITIONS_F,59,WORKING_HOURS,NUMBER,22,0,WORKING_HOURS
,HR_PROD,HR_ALL_POSITIONS_F,60,WORKS_COUNCIL_APPROVAL_FLAG,VARCHAR2,30,0,WORKS_COUNCIL_APPROVAL_FLAG
,HR_PROD,HR_ALL_POSITIONS_F,61,WORK_PERIOD_TYPE_CD,VARCHAR2,30,0,WORK_PERIOD_TYPE_CD
,HR_PROD,HR_ALL_POSITIONS_F,62,WORK_TERM_END_DAY_CD,VARCHAR2,30,0,WORK_TERM_END_DAY_CD
,HR_PROD,HR_ALL_POSITIONS_F,63,WORK_TERM_END_MONTH_CD,VARCHAR2,30,0,WORK_TERM_END_MONTH_CD
,HR_PROD,HR_ALL_POSITIONS_F,64,INFORMATION1,VARCHAR2,150,0,INFORMATION1
,HR_PROD,HR_ALL_POSITIONS_F,65,INFORMATION2,VARCHAR2,150,0,INFORMATION2
,HR_PROD,HR_ALL_POSITIONS_F,66,INFORMATION3,VARCHAR2,150,0,INFORMATION3
,HR_PROD,HR_ALL_POSITIONS_F,67,INFORMATION4,VARCHAR2,150,0,INFORMATION4
,HR_PROD,HR_ALL_POSITIONS_F,68,INFORMATION5,VARCHAR2,150,0,INFORMATION5
,HR_PROD,HR_ALL_POSITIONS_F,69,INFORMATION6,VARCHAR2,150,0,INFORMATION6
,HR_PROD,HR_ALL_POSITIONS_F,70,INFORMATION7,VARCHAR2,150,0,INFORMATION7
,HR_PROD,HR_ALL_POSITIONS_F,71,INFORMATION8,VARCHAR2,150,0,INFORMATION8
,HR_PROD,HR_ALL_POSITIONS_F,72,INFORMATION9,VARCHAR2,150,0,INFORMATION9
,HR_PROD,HR_ALL_POSITIONS_F,73,INFORMATION10,VARCHAR2,150,0,INFORMATION10
,HR_PROD,HR_ALL_POSITIONS_F,74,INFORMATION11,VARCHAR2,150,0,INFORMATION11
,HR_PROD,HR_ALL_POSITIONS_F,75,INFORMATION12,VARCHAR2,150,0,INFORMATION12
,HR_PROD,HR_ALL_POSITIONS_F,76,INFORMATION13,VARCHAR2,150,0,INFORMATION13
,HR_PROD,HR_ALL_POSITIONS_F,77,INFORMATION14,VARCHAR2,150,0,INFORMATION14
,HR_PROD,HR_ALL_POSITIONS_F,78,INFORMATION15,VARCHAR2,150,0,INFORMATION15
,HR_PROD,HR_ALL_POSITIONS_F,79,INFORMATION16,VARCHAR2,150,0,INFORMATION16
,HR_PROD,HR_ALL_POSITIONS_F,80,INFORMATION17,VARCHAR2,150,0,INFORMATION17
,HR_PROD,HR_ALL_POSITIONS_F,81,INFORMATION18,VARCHAR2,150,0,INFORMATION18
,HR_PROD,HR_ALL_POSITIONS_F,82,INFORMATION19,VARCHAR2,150,0,INFORMATION19
,HR_PROD,HR_ALL_POSITIONS_F,83,INFORMATION20,VARCHAR2,150,0,INFORMATION20
,HR_PROD,HR_ALL_POSITIONS_F,84,INFORMATION21,VARCHAR2,150,0,INFORMATION21
,HR_PROD,HR_ALL_POSITIONS_F,85,INFORMATION22,VARCHAR2,150,0,INFORMATION22
,HR_PROD,HR_ALL_POSITIONS_F,86,INFORMATION23,VARCHAR2,150,0,INFORMATION23
,HR_PROD,HR_ALL_POSITIONS_F,87,INFORMATION24,VARCHAR2,150,0,INFORMATION24
,HR_PROD,HR_ALL_POSITIONS_F,88,INFORMATION25,VARCHAR2,150,0,INFORMATION25
,HR_PROD,HR_ALL_POSITIONS_F,89,INFORMATION26,VARCHAR2,150,0,INFORMATION26
,HR_PROD,HR_ALL_POSITIONS_F,90,INFORMATION27,VARCHAR2,150,0,INFORMATION27
,HR_PROD,HR_ALL_POSITIONS_F,91,INFORMATION28,VARCHAR2,150,0,INFORMATION28
,HR_PROD,HR_ALL_POSITIONS_F,92,INFORMATION29,VARCHAR2,150,0,INFORMATION29
,HR_PROD,HR_ALL_POSITIONS_F,93,INFORMATION30,VARCHAR2,150,0,INFORMATION30
,HR_PROD,HR_ALL_POSITIONS_F,94,INFORMATION_CATEGORY,VARCHAR2,30,0,INFORMATION_CATEGORY
,HR_PROD,HR_ALL_POSITIONS_F,95,ATTRIBUTE1,VARCHAR2,150,0,ATTRIBUTE1
,HR_PROD,HR_ALL_POSITIONS_F,96,ATTRIBUTE2,VARCHAR2,150,0,ATTRIBUTE2
,HR_PROD,HR_ALL_POSITIONS_F,97,ATTRIBUTE3,VARCHAR2,150,0,ATTRIBUTE3
,HR_PROD,HR_ALL_POSITIONS_F,98,ATTRIBUTE4,VARCHAR2,150,0,ATTRIBUTE4
,HR_PROD,HR_ALL_POSITIONS_F,99,ATTRIBUTE5,VARCHAR2,150,0,ATTRIBUTE5
,HR_PROD,HR_ALL_POSITIONS_F,100,ATTRIBUTE6,VARCHAR2,150,0,ATTRIBUTE6
,HR_PROD,HR_ALL_POSITIONS_F,101,ATTRIBUTE7,VARCHAR2,150,0,ATTRIBUTE7
,HR_PROD,HR_ALL_POSITIONS_F,102,ATTRIBUTE8,VARCHAR2,150,0,ATTRIBUTE8
,HR_PROD,HR_ALL_POSITIONS_F,103,ATTRIBUTE9,VARCHAR2,150,0,ATTRIBUTE9
,HR_PROD,HR_ALL_POSITIONS_F,104,ATTRIBUTE10,VARCHAR2,150,0,ATTRIBUTE10
,HR_PROD,HR_ALL_POSITIONS_F,105,ATTRIBUTE11,VARCHAR2,150,0,ATTRIBUTE11
,HR_PROD,HR_ALL_POSITIONS_F,106,ATTRIBUTE12,VARCHAR2,150,0,ATTRIBUTE12
,HR_PROD,HR_ALL_POSITIONS_F,107,ATTRIBUTE13,VARCHAR2,150,0,ATTRIBUTE13
,HR_PROD,HR_ALL_POSITIONS_F,108,ATTRIBUTE14,VARCHAR2,150,0,ATTRIBUTE14
,HR_PROD,HR_ALL_POSITIONS_F,109,ATTRIBUTE15,VARCHAR2,150,0,ATTRIBUTE15
,HR_PROD,HR_ALL_POSITIONS_F,110,ATTRIBUTE16,VARCHAR2,150,0,ATTRIBUTE16
,HR_PROD,HR_ALL_POSITIONS_F,111,ATTRIBUTE17,VARCHAR2,150,0,ATTRIBUTE17
,HR_PROD,HR_ALL_POSITIONS_F,112,ATTRIBUTE18,VARCHAR2,150,0,ATTRIBUTE18
,HR_PROD,HR_ALL_POSITIONS_F,113,ATTRIBUTE19,VARCHAR2,150,0,ATTRIBUTE19
,HR_PROD,HR_ALL_POSITIONS_F,114,ATTRIBUTE20,VARCHAR2,150,0,ATTRIBUTE20
,HR_PROD,HR_ALL_POSITIONS_F,115,ATTRIBUTE21,VARCHAR2,150,0,ATTRIBUTE21
,HR_PROD,HR_ALL_POSITIONS_F,116,ATTRIBUTE22,VARCHAR2,150,0,ATTRIBUTE22
,HR_PROD,HR_ALL_POSITIONS_F,117,ATTRIBUTE23,VARCHAR2,150,0,ATTRIBUTE23
,HR_PROD,HR_ALL_POSITIONS_F,118,ATTRIBUTE24,VARCHAR2,150,0,ATTRIBUTE24
,HR_PROD,HR_ALL_POSITIONS_F,119,ATTRIBUTE25,VARCHAR2,150,0,ATTRIBUTE25
,HR_PROD,HR_ALL_POSITIONS_F,120,ATTRIBUTE26,VARCHAR2,150,0,ATTRIBUTE26
,HR_PROD,HR_ALL_POSITIONS_F,121,ATTRIBUTE27,VARCHAR2,150,0,ATTRIBUTE27
,HR_PROD,HR_ALL_POSITIONS_F,122,ATTRIBUTE28,VARCHAR2,150,0,ATTRIBUTE28
,HR_PROD,HR_ALL_POSITIONS_F,123,ATTRIBUTE29,VARCHAR2,150,0,ATTRIBUTE29
,HR_PROD,HR_ALL_POSITIONS_F,124,ATTRIBUTE30,VARCHAR2,150,0,ATTRIBUTE30
,HR_PROD,HR_ALL_POSITIONS_F,125,ATTRIBUTE_CATEGORY,VARCHAR2,30,0,ATTRIBUTE_CATEGORY
,HR_PROD,HR_ALL_POSITIONS_F,126,REQUEST_ID,NUMBER,22,0,REQUEST_ID
,HR_PROD,HR_ALL_POSITIONS_F,127,PROGRAM_APPLICATION_ID,NUMBER,22,0,PROGRAM_APPLICATION_ID
,HR_PROD,HR_ALL_POSITIONS_F,128,PROGRAM_ID,NUMBER,22,0,PROGRAM_ID
,HR_PROD,HR_ALL_POSITIONS_F,129,PROGRAM_UPDATE_DATE,DATE,7,0,PROGRAM_UPDATE_DATE
,HR_PROD,HR_ALL_POSITIONS_F,130,CREATED_BY,NUMBER,22,0,CREATED_BY
,HR_PROD,HR_ALL_POSITIONS_F,131,CREATION_DATE,DATETIME,7,0,CREATION_DATE
,HR_PROD,HR_ALL_POSITIONS_F,132,LAST_UPDATED_BY,NUMBER,22,0,LAST_UPDATED_BY
,HR_PROD,HR_ALL_POSITIONS_F,133,LAST_UPDATE_DATE,DATETIME,7,0,LAST_UPDATE_DATE
,HR_PROD,HR_ALL_POSITIONS_F,134,LAST_UPDATE_LOGIN,NUMBER,22,0,LAST_UPDATE_LOGIN
,HR_PROD,HR_ALL_POSITIONS_F,135,OBJECT_VERSION_NUMBER,NUMBER,22,0,OBJECT_VERSION_NUMBER
,HR_PROD,HR_ALL_POSITIONS_F,136,COMMENTS,LONG,0,0,COMMENTS
,HR_PROD,HR_ALL_POSITIONS_F_TL,1,POSITION_ID,NUMBER,22,0,POSITION_ID
,HR_PROD,HR_ALL_POSITIONS_F_TL,2,LANGUAGE,VARCHAR2,4,0,LANGUAGE
,HR_PROD,HR_ALL_POSITIONS_F_TL,3,SOURCE_LANG,VARCHAR2,4,0,SOURCE_LANG
,HR_PROD,HR_ALL_POSITIONS_F_TL,4,NAME,VARCHAR2,240,0,NAME
,HR_PROD,HR_ALL_POSITIONS_F_TL,5,CREATED_BY,NUMBER,22,0,CREATED_BY
,HR_PROD,HR_ALL_POSITIONS_F_TL,6,CREATION_DATE,DATETIME,7,0,CREATION_DATE
,HR_PROD,HR_ALL_POSITIONS_F_TL,7,LAST_UPDATED_BY,NUMBER,22,0,LAST_UPDATED_BY
,HR_PROD,HR_ALL_POSITIONS_F_TL,8,LAST_UPDATE_DATE,DATETIME,7,0,LAST_UPDATE_DATE
,HR_PROD,HR_ALL_POSITIONS_F_TL,9,LAST_UPDATE_LOGIN,NUMBER,22,0,LAST_UPDATE_LOGIN
,HR_PROD,HR_LOCATIONS_ALL,1,LOCATION_ID,NUMBER,22,0,LOCATION_ID
,HR_PROD,HR_LOCATIONS_ALL,2,LOCATION_CODE,VARCHAR2,60,0,LOCATION_CODE
,HR_PROD,HR_LOCATIONS_ALL,3,BUSINESS_GROUP_ID,NUMBER,22,0,BUSINESS_GROUP_ID
,HR_PROD,HR_LOCATIONS_ALL,4,DESCRIPTION,VARCHAR2,240,0,DESCRIPTION
,HR_PROD,HR_LOCATIONS_ALL,5,SHIP_TO_LOCATION_ID,NUMBER,22,0,SHIP_TO_LOCATION_ID
,HR_PROD,HR_LOCATIONS_ALL,6,SHIP_TO_SITE_FLAG,VARCHAR2,30,0,SHIP_TO_SITE_FLAG
,HR_PROD,HR_LOCATIONS_ALL,7,RECEIVING_SITE_FLAG,VARCHAR2,30,0,RECEIVING_SITE_FLAG
,HR_PROD,HR_LOCATIONS_ALL,8,BILL_TO_SITE_FLAG,VARCHAR2,30,0,BILL_TO_SITE_FLAG
